t,ue_x,ue_y,ue_vx,ue_vy,ue_speed,true_angle_deg,selected_beam_idx,selected_beam_deg,oracle_beam_idx,oracle_beam_deg,tracking_error_deg,distance,blocked,outage,snr_db,beam_gain_db,path_loss_db,blockage_loss_db,reward
49,306.5276239906494,310.1737374476236,3.9649827187186144,0.7535551835295442,4.035955075860174,-36.45134137710093,24,-36.0,24,-36.0,0.45134137710093114,345.8316433013431,False,False,18.120530892057126,-0.024445084642003793,11.85502402330087,0.0,0.504821235682285
50,310.5141098650848,310.20850475735165,3.986485874435395,0.034767309728053496,3.9866374794930453,-35.913040912023945,24,-36.0,24,-36.0,0.08695908797605512,343.5062387246853,False,False,18.208530734314323,-0.0009074259577952753,11.790561839727882,0.0,0.5283412293725729
51,314.4428684371836,309.8780037479229,3.9287585720988383,-0.33050100942873906,3.942635518923036,-35.41089181614075,25,-35.0,25,-35.0,0.4108918161407473,340.9472176133112,False,False,18.26062283611733,-0.020259850148573004,11.719117313734094,0.0,0.5104249134446934
52,318.35677548899827,309.99009881076677,3.913907051814648,0.11209506284390296,3.915511935029494,-34.860419996728666,25,-35.0,25,-35.0,0.1395800032713339,338.78635367416746,False,False,18.33929210120351,-0.0023379092775870705,11.658369989518903,0.0,0.5335716840481404
53,322.3855110019829,309.83997842702945,4.02873551298459,-0.15012038373729522,4.031531466229259,-34.31194724827054,26,-34.0,26,-34.0,0.3119472482705419,336.3758434405053,False,False,18.398177075473285,-0.011677330284427573,11.590145594242289,0.0,0.5159270830189313
54,326.4118411521423,309.24315728334676,4.026330150159429,-0.596821143682668,4.070323077549193,-33.79857885861864,26,-34.0,26,-34.0,0.2014211413813598,333.626637073505,False,False,18.483395750340588,-0.004868457143444368,11.511735792515967,0.0,0.5393358300136237
55,330.38550672891245,308.65005299594577,3.9736655767701734,-0.5931042874009876,4.017684757636127,-33.28399197729536,27,-33.0,27,-33.0,0.28399197729535786,330.93666461843344,False,False,18.555934345779395,-0.009678173180175248,11.434387481040428,0.0,0.5222373738311756
56,334.2005737105504,308.0384329563569,3.8150669816379374,-0.6116200395888212,3.8637824922232142,-32.78603559315246,27,-33.0,27,-33.0,0.2139644068475377,328.34410678106985,False,False,18.635263339313756,-0.005493692087714237,11.359242968598531,0.0,0.5454105335725501
57,338.0829570194756,307.1343988792107,3.882383308925213,-0.9040340771462029,3.9862485835761263,-32.297663437213174,28,-32.0,28,-32.0,0.2976634372131741,325.4935871652684,False,False,18.713433972796135,-0.01063242262242735,11.275933604581436,0.0,0.5285373589118456
58,341.82720410454704,305.997824631726,3.7442470850714327,-1.1365742474846765,3.9129512205126296,-31.843321314289824,28,-32.0,28,-32.0,0.15667868571017607,322.5423822783505,False,False,18.808144850184508,-0.0029457852667041755,11.188909364548788,0.0,0.5523257940073802
59,345.84016730574564,305.4872678640196,4.01296320119859,-0.5105567677064093,4.04531109647019,-31.281177618810034,29,-31.0,29,-31.0,0.2811776188100339,320.00683693432023,False,False,18.877009041298567,-0.009487302398361687,11.11350365630307,0.0,0.5350803616519426
60,349.53297722730116,304.04016782365983,3.69280992155551,-1.447100040359747,3.9662253646947487,-30.846368395603747,29,-31.0,29,-31.0,0.1536316043962529,316.8617780644261,False,False,18.978030871485604,-0.0028323203843240103,11.01913680813007,0.0,0.5591212348594241
61,353.40554833343714,303.2857761144134,3.872571106135953,-0.7543917092464348,3.9453661202807018,-30.31068014711329,30,-30.0,30,-30.0,0.3106801471132883,314.2422193490515,False,False,19.048597608041785,-0.011582658457240132,10.939819733500974,0.0,0.5419439043216716
62,357.3683852789996,303.49775686801576,3.9628369455624837,0.21198075360236993,3.968502550964636,-29.66368672240438,30,-30.0,30,-30.0,0.3363132775956217,312.445144394321,False,False,19.101404049250583,-0.01357279448245316,10.885023156266964,0.0,0.5640561619700233
63,361.2498922120812,303.5293391359979,3.88150693308157,0.031582267982135655,3.881635417090481,-29.03855372838146,31,-29.0,31,-29.0,0.03855372838145854,310.5700838936373,False,False,19.172310007024258,-0.0001783667966533538,10.827511626179088,0.0,0.5468924002809703
64,365.03303650156863,304.1283123136604,3.783144289487444,0.5989731776625132,3.830267560189573,-28.3719274361045,32,-28.0,32,-28.0,0.3719274361044995,309.27836445931734,False,False,19.195710517132678,-0.016599602127271993,10.78768988074005,0.0,0.5478284206853072
65,368.89313854492343,304.3749086572017,3.8601020433547926,0.2465963435413062,3.867970726590338,-27.717614960673927,32,-28.0,32,-28.0,0.28238503932607273,307.681108717356,False,False,19.25221274180291,-0.009568957252222518,10.738218300944865,0.0,0.5700885096721162
